height,D_DT_geo,D_DT_fitted
101584.24890,27932.84953,27932.84953
101666.30423,27932.46691,27932.46691
100854.72180,27932.05764,27932.05764
100625.31679,27931.61986,27931.61986
100043.42632,27931.15156,27931.15156
99653.72196,27930.65063,27930.65063
99526.11886,27930.11480,27930.11480
99006.02573,27929.54162,27929.54162
98437.25466,27928.92851,27928.92851
97788.64707,27928.27266,27928.27266
97653.58507,27927.57110,27927.57110
97280.34999,27926.82065,27926.82065
96973.14459,27926.01790,27926.01790
96632.30919,27925.15919,27925.15919
96024.23978,27924.24063,27924.24063
95690.02921,27923.25805,27923.25805
95549.37671,27922.20697,27922.20697
94908.09769,27921.08263,27921.08263
94442.62301,27919.87991,27919.87991
94122.09223,27918.59335,27918.59335
93506.34010,27917.21710,27917.21710
93146.13058,27915.74491,27915.74491
92520.43902,27914.17008,27914.17008
92079.35424,27912.48545,27912.48545
91911.71463,27910.68337,27910.68337
91225.15939,27908.75566,27908.75566
90814.66213,27906.69353,27906.69353
90673.27526,27904.48761,27904.48761
90335.17672,27902.12788,27902.12788
89983.76653,27899.60361,27899.60361
89640.21517,27896.90332,27896.90332
89416.77327,27894.01473,27894.01473
89042.04340,27890.92469,27890.92469
88572.63458,27887.61917,27887.61917
88314.36200,27884.08311,27884.08311
87879.95066,27880.30045,27880.30045
87419.25128,27876.25399,27876.25399
86912.77192,27871.92529,27871.92529
86522.99192,27867.29468,27867.29468
86071.56677,27862.34108,27862.34108
85714.69194,27857.04196,27857.04196
85344.82166,27851.37324,27851.37324
84870.04416,27845.30907,27845.30907
84386.12384,27838.82189,27838.82189
83755.52203,27831.88216,27831.88216
83056.04808,27824.45831,27824.45831
82734.05287,27816.51659,27816.51659
82712.53357,27808.02079,27808.02079
82489.83847,27798.93225,27798.93225
82060.19711,27789.20963,27789.20963
81506.44943,27778.80865,27778.80865
81034.00780,27767.68197,27767.68197
80722.89619,27755.77898,27755.77898
80407.12050,27743.04540,27743.04540
79948.88621,27729.42329,27729.42329
79576.19460,27714.85062,27714.85062
79198.83443,27699.26104,27699.26104
78973.57985,27682.58363,27682.58363
78467.93979,27664.74229,27664.74229
78374.59165,27645.65585,27645.65585
78201.50790,27625.23737,27625.23737
77761.71544,27603.39384,27603.39384
77316.80501,27580.02577,27580.02577
76918.39335,27555.02682,27555.02682
76549.15291,27528.28289,27528.28289
75930.48790,27499.67225,27499.67225
75709.62717,27469.06454,27469.06454
75509.72396,27436.32031,27436.32031
75107.31331,27401.29050,27401.29050
74572.57887,27363.81521,27363.81521
74044.00501,27323.72379,27323.72379
73833.94663,27280.83355,27280.83355
73489.07893,27234.94901,27234.94901
73025.86631,27185.86124,27185.86124
72675.11501,27133.34610,27133.34610
72370.29300,27077.16442,27077.16442
71815.47763,27017.06008,27017.06008
71289.94966,26952.75909,26952.75909
70764.59289,26883.96830,26883.96830
70640.97091,26810.37438,26810.37438
70171.86901,26731.64120,26731.64120
69858.47601,26647.41004,26647.41004
69571.81660,26557.29681,26557.29681
69371.14193,26460.89058,26460.89058
68791.68501,26357.75211,26357.75211
68338.43432,26247.41020,26247.41020
68092.53258,26129.36199,26129.36199
67634.43215,26003.06905,26003.06905
67168.53908,25867.95529,25867.95529
66849.70489,25723.40437,25723.40437
66559.81201,25568.75749,25568.75749
66074.57746,25403.30792,25403.30792
65887.34168,25226.30140,25226.30140
65591.73276,25036.93030,25036.93030
65383.63715,24834.33055,24834.33055
65074.48292,24617.57855,24617.57855
64998.42455,24385.68347,24385.68347
64421.93437,24137.58784,24137.58784
64121.79783,23872.15941,23872.15941
63975.46666,23588.18672,23588.18672
63611.88922,23284.37485,23284.37485
63328.77997,22959.33465,22959.33465
63175.50606,22611.58350,22611.58350
62822.77835,22239.53390,22239.53390
62454.99178,21841.48731,21841.48731
62227.18693,21415.62643,21415.62643
61303.20036,20960.00871,20960.00871
60841.61577,20472.55017,20472.55017
61350.82181,19951.02666,19951.02666
